time_tag_seconds,record_tine,full_observable,observable_int,observable_frac,receiving_station_id,transmitting_station_id,data_type_id,data_validity,format_id
1834260806,2008-02-15 20:53:26,-2717.628411292,-2717,-628411292,34,0,11,0,2
1834260816,2008-02-15 20:53:36,-2708.553662299,-2708,-553662299,34,0,11,0,2
1834260826,2008-02-15 20:53:46,-2699.236605643,-2699,-236605643,34,0,11,0,2
1834260836,2008-02-15 20:53:56,-2689.842020987,-2689,-842020987,34,0,11,0,2
1834260846,2008-02-15 20:54:06,-2680.657343863,-2680,-657343863,34,0,11,0,2
1834260856,2008-02-15 20:54:16,-2671.62397766,-2671,-623977660,34,0,11,0,2
1834260866,2008-02-15 20:54:26,-2662.761894225,-2662,-761894225,34,0,11,0,2
1834260876,2008-02-15 20:54:36,-2653.799383162,-2653,-799383162,34,0,11,0,2
1834260886,2008-02-15 20:54:46,-2644.809488296,-2644,-809488296,34,0,11,0,2
1834260896,2008-02-15 20:54:56,-2635.930226325,-2635,-930226325,34,0,11,0,2
1834260906,2008-02-15 20:55:06,-2627.075367927,-2627,-75367927,34,0,11,0,2
1834260916,2008-02-15 20:55:16,-2618.269468306,-2618,-269468306,34,0,11,0,2
1834260926,2008-02-15 20:55:26,-2609.335495948,-2609,-335495948,34,0,11,0,2
1834260936,2008-02-15 20:55:36,-2600.59372425,-2600,-593724250,34,0,11,0,2
1834260946,2008-02-15 20:55:46,-2591.797549247,-2591,-797549247,34,0,11,0,2
1834260956,2008-02-15 20:55:56,-2582.968765258,-2582,-968765258,34,0,11,0,2
1834260966,2008-02-15 20:56:06,-2574.166481971,-2574,-166481971,34,0,11,0,2
1834260976,2008-02-15 20:56:16,-2565.484890937,-2565,-484890937,34,0,11,0,2
1834260986,2008-02-15 20:56:26,-2556.737875937,-2556,-737875937,34,0,11,0,2
1834260996,2008-02-15 20:56:36,-2548.016724585,-2548,-16724585,34,0,11,0,2
1834261006,2008-02-15 20:56:46,-2539.310269355,-2539,-310269355,34,0,11,0,2
1834261016,2008-02-15 20:56:56,-2530.713032721,-2530,-713032721,34,0,11,0,2
1834261026,2008-02-15 20:57:06,-2522.053334235,-2522,-53334235,34,0,11,0,2
1834261036,2008-02-15 20:57:16,-2513.392838477,-2513,-392838477,34,0,11,0,2
1834261046,2008-02-15 20:57:26,-2504.75034809,-2504,-750348090,34,0,11,0,2
1834261056,2008-02-15 20:57:36,-2496.173552512,-2496,-173552512,34,0,11,0,2
1834261066,2008-02-15 20:57:46,-2487.649920463,-2487,-649920463,34,0,11,0,2
1834261076,2008-02-15 20:57:56,-2478.86775875,-2478,-867758750,34,0,11,0,2
1834261086,2008-02-15 20:58:06,-2470.360378264,-2470,-360378264,34,0,11,0,2
1834261096,2008-02-15 20:58:16,-2461.756120681,-2461,-756120681,34,0,11,0,2
1834261106,2008-02-15 20:58:26,-2453.185261725,-2453,-185261725,34,0,11,0,2
1834261116,2008-02-15 20:58:36,-2444.589962958,-2444,-589962958,34,0,11,0,2
1834261126,2008-02-15 20:58:46,-2436.050252913,-2436,-50252913,34,0,11,0,2
1834261136,2008-02-15 20:58:56,-2427.492303847,-2427,-492303847,34,0,11,0,2
1834261146,2008-02-15 20:59:06,-2418.918391227,-2418,-918391227,34,0,11,0,2
1834261156,2008-02-15 20:59:16,-2410.450459479,-2410,-450459479,34,0,11,0,2
1834261166,2008-02-15 20:59:26,-2401.924589156,-2401,-924589156,34,0,11,0,2
1834261176,2008-02-15 20:59:36,-2393.395629882,-2393,-395629882,34,0,11,0,2
1834261186,2008-02-15 20:59:46,-2384.937554358,-2384,-937554358,34,0,11,0,2
1834261196,2008-02-15 20:59:56,-2376.356909751,-2376,-356909751,34,0,11,0,2
1834261206,2008-02-15 21:00:06,-2367.810821532,-2367,-810821532,34,0,11,0,2
1834261216,2008-02-15 21:00:16,-2359.273200034,-2359,-273200034,34,0,11,0,2
1834261226,2008-02-15 21:00:26,-2350.776120185,-2350,-776120185,34,0,11,0,2
1834261236,2008-02-15 21:00:36,-2342.240878104,-2342,-240878104,34,0,11,0,2
1834261246,2008-02-15 21:00:46,-2333.790219306,-2333,-790219306,34,0,11,0,2
1834261256,2008-02-15 21:00:56,-2325.229975699,-2325,-229975699,34,0,11,0,2
1834261266,2008-02-15 21:01:06,-2316.779788016,-2316,-779788016,34,0,11,0,2
1834261276,2008-02-15 21:01:16,-2308.198264121,-2308,-198264121,34,0,11,0,2
1834261286,2008-02-15 21:01:26,-2299.730700492,-2299,-730700492,34,0,11,0,2
1834261296,2008-02-15 21:01:36,-2291.306243895,-2291,-306243895,34,0,11,0,2
1834261306,2008-02-15 21:01:46,-2282.721693038,-2282,-721693038,34,0,11,0,2
1834261316,2008-02-15 21:01:56,-2274.24007511,-2274,-240075110,34,0,11,0,2
1834261326,2008-02-15 21:02:06,-2265.740183829,-2265,-740183829,34,0,11,0,2
1834261336,2008-02-15 21:02:16,-2257.221936225,-2257,-221936225,34,0,11,0,2
1834261346,2008-02-15 21:02:26,-2248.733449935,-2248,-733449935,34,0,11,0,2
1834261356,2008-02-15 21:02:36,-2240.142727851,-2240,-142727851,34,0,11,0,2
1834261366,2008-02-15 21:02:46,-2231.674188613,-2231,-674188613,34,0,11,0,2
1834261376,2008-02-15 21:02:56,-2223.107237815,-2223,-107237815,34,0,11,0,2
1834261386,2008-02-15 21:03:06,-2214.663696288,-2214,-663696288,34,0,11,0,2
1834261396,2008-02-15 21:03:16,-2206.096314429,-2206,-96314429,34,0,11,0,2
1834261406,2008-02-15 21:03:26,-2197.585077285,-2197,-585077285,34,0,11,0,2
1834261416,2008-02-15 21:03:36,-2189.075136184,-2189,-75136184,34,0,11,0,2
1834261426,2008-02-15 21:03:46,-2180.543635367,-2180,-543635367,34,0,11,0,2
1834261436,2008-02-15 21:03:56,-2172.004790305,-2172,-4790305,34,0,11,0,2
1834261446,2008-02-15 21:04:06,-2163.546035766,-2163,-546035766,34,0,11,0,2
1834261456,2008-02-15 21:04:16,-2154.992126464,-2154,-992126464,34,0,11,0,2
1834261466,2008-02-15 21:04:26,-2146.511539458,-2146,-511539458,34,0,11,0,2
1834261476,2008-02-15 21:04:36,-2137.888236999,-2137,-888236999,34,0,11,0,2
1834261486,2008-02-15 21:04:46,-2129.353116988,-2129,-353116988,34,0,11,0,2
1834261496,2008-02-15 21:04:56,-2120.816123961,-2120,-816123961,34,0,11,0,2
1834261506,2008-02-15 21:05:06,-2112.291646003,-2112,-291646003,34,0,11,0,2
1834261516,2008-02-15 21:05:16,-2103.661835669,-2103,-661835669,34,0,11,0,2
1834261526,2008-02-15 21:05:26,-2095.084760665,-2095,-84760665,34,0,11,0,2
1834261536,2008-02-15 21:05:36,-2086.446485518,-2086,-446485518,34,0,11,0,2
1834261546,2008-02-15 21:05:46,-2077.875642775,-2077,-875642775,34,0,11,0,2
