time_tag_seconds,record_tine,full_observable,observable_int,observable_frac,receiving_station_id,transmitting_station_id,data_type_id,data_validity,format_id
1853531726,2008-09-25 21:55:26,-572752.961129188,-572752,-961129188,34,0,11,0,2
1853531786,2008-09-25 21:56:26,-572723.130246161,-572723,-130246161,34,0,11,0,2
1853531846,2008-09-25 21:57:26,-572692.981423377,-572692,-981423377,34,0,11,0,2
1853531906,2008-09-25 21:58:26,-572663.232263564,-572663,-232263564,34,0,11,0,2
1853531966,2008-09-25 21:59:26,-572633.686511039,-572633,-686511039,34,0,11,0,2
1853532026,2008-09-25 22:00:26,-572604.167167663,-572604,-167167663,34,0,11,0,2
1853532086,2008-09-25 22:01:26,-572574.717737197,-572574,-717737197,34,0,11,0,2
1853532146,2008-09-25 22:02:26,-572545.172173499,-572545,-172173499,34,0,11,0,2
1853532206,2008-09-25 22:03:26,-572515.574832915,-572515,-574832915,34,0,11,0,2
1853532266,2008-09-25 22:04:26,-572485.860045432,-572485,-860045432,34,0,11,0,2
1853532326,2008-09-25 22:05:26,-572455.902852057,-572455,-902852057,34,0,11,0,2
1853532386,2008-09-25 22:06:26,-572425.753500937,-572425,-753500937,34,0,11,0,2
1853532446,2008-09-25 22:07:26,-572395.372043609,-572395,-372043609,34,0,11,0,2
1853532506,2008-09-25 22:08:26,-572364.986096381,-572364,-986096381,34,0,11,0,2
1853532566,2008-09-25 22:09:26,-572334.288599967,-572334,-288599967,34,0,11,0,2
1853532626,2008-09-25 22:10:26,-572303.486305236,-572303,-486305236,34,0,11,0,2
1853532686,2008-09-25 22:11:26,-572272.564076423,-572272,-564076423,34,0,11,0,2
1853532746,2008-09-25 22:12:26,-572241.462804793,-572241,-462804793,34,0,11,0,2
1853532806,2008-09-25 22:13:26,-572210.188721656,-572210,-188721656,34,0,11,0,2
1853532866,2008-09-25 22:14:26,-572178.716213225,-572178,-716213225,34,0,11,0,2
1853532926,2008-09-25 22:15:26,-572147.039071082,-572147,-39071082,34,0,11,0,2
1853532986,2008-09-25 22:16:26,-572115.268456458,-572115,-268456458,34,0,11,0,2
1853533046,2008-09-25 22:17:26,-572083.303931235,-572083,-303931235,34,0,11,0,2
1853625331,2008-09-26 23:55:31,-537742.797229766,-537742,-797229766,34,0,11,0,2
1853625391,2008-09-26 23:56:31,-537688.237153052,-537688,-237153052,34,0,11,0,2
1853625451,2008-09-26 23:57:31,-537633.388812064,-537633,-388812064,34,0,11,0,2
1853625511,2008-09-26 23:58:31,-537578.482164382,-537578,-482164382,34,0,11,0,2
1853625571,2008-09-26 23:59:31,-537523.390878676,-537523,-390878676,34,0,11,0,2
1853625631,2008-09-27 00:00:31,-537468.312494277,-537468,-312494277,34,0,11,0,2
1853625691,2008-09-27 00:01:31,-537412.922853469,-537412,-922853469,34,0,11,0,2
1853625751,2008-09-27 00:02:31,-537357.396995543,-537357,-396995543,34,0,11,0,2
