time_tag_seconds,record_tine,full_observable,observable_int,observable_frac,receiving_station_id,transmitting_station_id,data_type_id,data_validity,format_id
1885414450,2009-09-29 22:14:10,1285954.803596497,1285954,803596497,14,0,11,0,2
1885414451,2009-09-29 22:14:11,1285900.655366898,1285900,655366898,14,0,11,0,2
1885414452,2009-09-29 22:14:12,1285846.654806137,1285846,654806137,14,0,11,0,2
1885414453,2009-09-29 22:14:13,1285792.680646896,1285792,680646896,14,0,11,0,2
1885414454,2009-09-29 22:14:14,1285738.739175797,1285738,739175797,14,0,11,0,2
1885414455,2009-09-29 22:14:15,1285684.891465187,1285684,891465187,14,0,11,0,2
1885414456,2009-09-29 22:14:16,1285631.15923214,1285631,159232140,14,0,11,0,2
1885414457,2009-09-29 22:14:17,1285577.174461365,1285577,174461365,14,0,11,0,2
1885414458,2009-09-29 22:14:18,1285523.38402462,1285523,384024620,14,0,11,0,2
1885414459,2009-09-29 22:14:19,1285469.522680283,1285469,522680283,14,0,11,0,2
1885414460,2009-09-29 22:14:20,1285415.965886116,1285415,965886116,14,0,11,0,2
