time_tag_seconds,record_tine,full_observable,observable_int,observable_frac,receiving_station_id,transmitting_station_id,data_type_id,data_validity,format_id
1933468812,2011-04-09 02:40:12,-315458.285011291,-315458,-285011291,34,0,11,0,2
1933468817,2011-04-09 02:40:17,-315480.092084884,-315480,-92084884,34,0,11,0,2
1933468822,2011-04-09 02:40:22,-315501.952136039,-315501,-952136039,34,0,11,0,2
1933468827,2011-04-09 02:40:27,-315523.806426047,-315523,-806426047,34,0,11,0,2
1933468832,2011-04-09 02:40:32,-315545.677072524,-315545,-677072524,34,0,11,0,2
1933468837,2011-04-09 02:40:37,-315567.727951049,-315567,-727951049,34,0,11,0,2
1933468842,2011-04-09 02:40:42,-315589.70800495,-315589,-708004950,34,0,11,0,2
1933468847,2011-04-09 02:40:47,-315611.772598266,-315611,-772598266,34,0,11,0,2
1933468852,2011-04-09 02:40:52,-315633.8893795,-315633,-889379500,34,0,11,0,2
1933468857,2011-04-09 02:40:57,-315656.001393317,-315656,-1393317,34,0,11,0,2
1933468862,2011-04-09 02:41:02,-315678.206188201,-315678,-206188201,34,0,11,0,2
1933468867,2011-04-09 02:41:07,-315700.536793708,-315700,-536793708,34,0,11,0,2
1933468872,2011-04-09 02:41:12,-315722.729789733,-315722,-729789733,34,0,11,0,2
1933468877,2011-04-09 02:41:17,-315745.170699119,-315745,-170699119,34,0,11,0,2
1933468882,2011-04-09 02:41:22,-315767.47270584,-315767,-472705840,34,0,11,0,2
1933468887,2011-04-09 02:41:27,-315789.831942557,-315789,-831942557,34,0,11,0,2
1933468892,2011-04-09 02:41:32,-315812.35732746,-315812,-357327460,34,0,11,0,2
1933468897,2011-04-09 02:41:37,-315834.795183181,-315834,-795183181,34,0,11,0,2
1933468902,2011-04-09 02:41:42,-315857.398636817,-315857,-398636817,34,0,11,0,2
1933468907,2011-04-09 02:41:47,-315879.907360076,-315879,-907360076,34,0,11,0,2
1933468912,2011-04-09 02:41:52,-315902.471386908,-315902,-471386908,34,0,11,0,2
1933468917,2011-04-09 02:41:57,-315925.192619323,-315925,-192619323,34,0,11,0,2
1933468922,2011-04-09 02:42:02,-315947.930068969,-315947,-930068969,34,0,11,0,2
1933468927,2011-04-09 02:42:07,-315970.738470077,-315970,-738470077,34,0,11,0,2
1933468932,2011-04-09 02:42:12,-315993.550243377,-315993,-550243377,34,0,11,0,2
1933468937,2011-04-09 02:42:17,-316016.410575866,-316016,-410575866,34,0,11,0,2
1933468942,2011-04-09 02:42:22,-316039.370383262,-316039,-370383262,34,0,11,0,2
1933468947,2011-04-09 02:42:27,-316062.241734504,-316062,-241734504,34,0,11,0,2
1933468952,2011-04-09 02:42:32,-316085.242495536,-316085,-242495536,34,0,11,0,2
1933468957,2011-04-09 02:42:37,-316108.138555526,-316108,-138555526,34,0,11,0,2
1933468962,2011-04-09 02:42:42,-316131.278442382,-316131,-278442382,34,0,11,0,2
1933468967,2011-04-09 02:42:47,-316154.411961554,-316154,-411961554,34,0,11,0,2
1933468972,2011-04-09 02:42:52,-316177.711018561,-316177,-711018561,34,0,11,0,2
1933468977,2011-04-09 02:42:57,-316200.913915633,-316200,-913915633,34,0,11,0,2
1933468982,2011-04-09 02:43:02,-316224.262532233,-316224,-262532233,34,0,11,0,2
1933468987,2011-04-09 02:43:07,-316247.572601317,-316247,-572601317,34,0,11,0,2
1933468992,2011-04-09 02:43:12,-316270.912744521,-316270,-912744521,34,0,11,0,2
1933468997,2011-04-09 02:43:17,-316294.320527076,-316294,-320527076,34,0,11,0,2
1933469002,2011-04-09 02:43:22,-316317.789646148,-316317,-789646148,34,0,11,0,2
1933469007,2011-04-09 02:43:27,-316341.229718207,-316341,-229718207,34,0,11,0,2
1933469012,2011-04-09 02:43:32,-316364.747876166,-316364,-747876166,34,0,11,0,2
1933469017,2011-04-09 02:43:37,-316388.419390677,-316388,-419390677,34,0,11,0,2
1933469022,2011-04-09 02:43:42,-316412.025356292,-316412,-25356292,34,0,11,0,2
1933469027,2011-04-09 02:43:47,-316435.797170638,-316435,-797170638,34,0,11,0,2
1933469032,2011-04-09 02:43:52,-316459.474832534,-316459,-474832534,34,0,11,0,2
1933469037,2011-04-09 02:43:57,-316483.28583145,-316483,-285831450,34,0,11,0,2
1933469042,2011-04-09 02:44:02,-316507.117546081,-316507,-117546081,34,0,11,0,2
1933469047,2011-04-09 02:44:07,-316531.037101745,-316531,-37101745,34,0,11,0,2
1933469052,2011-04-09 02:44:12,-316554.945994376,-316554,-945994376,34,0,11,0,2
1933469057,2011-04-09 02:44:17,-316578.980064391,-316578,-980064391,34,0,11,0,2
1933469062,2011-04-09 02:44:22,-316603.021871566,-316603,-21871566,34,0,11,0,2
1933469067,2011-04-09 02:44:27,-316627.087286948,-316627,-87286948,34,0,11,0,2
1933469072,2011-04-09 02:44:32,-316651.239980697,-316651,-239980697,34,0,11,0,2
1933469077,2011-04-09 02:44:37,-316675.460666655,-316675,-460666655,34,0,11,0,2
1933469082,2011-04-09 02:44:42,-316699.576180457,-316699,-576180457,34,0,11,0,2
