time_tag_seconds,record_tine,full_observable,observable_int,observable_frac,receiving_station_id,transmitting_station_id,data_type_id,data_validity,format_id
2057229013,2015-03-11 12:30:13,592366.884041786,592366,884041786,54,0,11,0,2
2057229018,2015-03-11 12:30:18,592358.247161865,592358,247161865,54,0,11,0,2
2057229023,2015-03-11 12:30:23,592349.683292389,592349,683292389,54,0,11,0,2
2057229028,2015-03-11 12:30:28,592341.101305008,592341,101305008,54,0,11,0,2
2057229033,2015-03-11 12:30:33,592332.403644562,592332,403644562,54,0,11,0,2
2057229038,2015-03-11 12:30:38,592323.576044083,592323,576044083,54,0,11,0,2
2057229043,2015-03-11 12:30:43,592314.758627892,592314,758627892,54,0,11,0,2
2057229048,2015-03-11 12:30:48,592305.928502083,592305,928502083,54,0,11,0,2
2057229053,2015-03-11 12:30:53,592297.107207298,592297,107207298,54,0,11,0,2
2057229058,2015-03-11 12:30:58,592288.16731739,592288,167317390,54,0,11,0,2
2057229063,2015-03-11 12:31:03,592279.160808563,592279,160808563,54,0,11,0,2
2057229068,2015-03-11 12:31:08,592270.078064919,592270,78064919,54,0,11,0,2
2057229073,2015-03-11 12:31:13,592260.93315506,592260,933155060,54,0,11,0,2
2057229078,2015-03-11 12:31:18,592251.729099274,592251,729099274,54,0,11,0,2
2057229083,2015-03-11 12:31:23,592242.520789146,592242,520789146,54,0,11,0,2
2057229088,2015-03-11 12:31:28,592233.229068756,592233,229068756,54,0,11,0,2
2057229093,2015-03-11 12:31:33,592223.858177185,592223,858177185,54,0,11,0,2
2057229098,2015-03-11 12:31:38,592214.477250099,592214,477250099,54,0,11,0,2
2057229103,2015-03-11 12:31:43,592205.092303276,592205,92303276,54,0,11,0,2
2057229108,2015-03-11 12:31:48,592195.580854416,592195,580854416,54,0,11,0,2
2057229113,2015-03-11 12:31:53,592186.095535278,592186,95535278,54,0,11,0,2
2057229118,2015-03-11 12:31:58,592176.448432922,592176,448432922,54,0,11,0,2
2057229123,2015-03-11 12:32:03,592166.799336433,592166,799336433,54,0,11,0,2
2057229128,2015-03-11 12:32:08,592157.115292549,592157,115292549,54,0,11,0,2
2057229133,2015-03-11 12:32:13,592147.308915138,592147,308915138,54,0,11,0,2
2057229138,2015-03-11 12:32:18,592137.522654533,592137,522654533,54,0,11,0,2
2057229143,2015-03-11 12:32:23,592127.654323578,592127,654323578,54,0,11,0,2
2057229148,2015-03-11 12:32:28,592117.708509445,592117,708509445,54,0,11,0,2
2057229153,2015-03-11 12:32:33,592107.734064102,592107,734064102,54,0,11,0,2
2057229158,2015-03-11 12:32:38,592097.685935974,592097,685935974,54,0,11,0,2
2057229163,2015-03-11 12:32:43,592087.556959152,592087,556959152,54,0,11,0,2
2057229168,2015-03-11 12:32:48,592077.368452072,592077,368452072,54,0,11,0,2
2057229173,2015-03-11 12:32:53,592067.165906906,592067,165906906,54,0,11,0,2
2057229178,2015-03-11 12:32:58,592056.907406807,592056,907406807,54,0,11,0,2
2057229183,2015-03-11 12:33:03,592046.58471489,592046,584714890,54,0,11,0,2
2057229188,2015-03-11 12:33:08,592036.160960197,592036,160960197,54,0,11,0,2
2057229193,2015-03-11 12:33:13,592025.74307251,592025,743072510,54,0,11,0,2
2057229198,2015-03-11 12:33:18,592015.222819328,592015,222819328,54,0,11,0,2
2057229203,2015-03-11 12:33:23,592004.653118134,592004,653118134,54,0,11,0,2
2057229208,2015-03-11 12:33:28,591994.090711594,591994,90711594,54,0,11,0,2
2057229213,2015-03-11 12:33:33,591983.375074387,591983,375074387,54,0,11,0,2
2057229218,2015-03-11 12:33:38,591972.641253471,591972,641253471,54,0,11,0,2
