t1,t2,t3,station_id,one_way_doppler,format_id,transmitting_station_id
64000,20711,64000.000020711,66,1767440384.0000656,1,11
64000,20727,64000.000020727,44,1312227328.0000656,1,83
64000,20729,64000.000020729,87,-616366079.9999344,1,23
64000,20733,64000.000020733,12,-445579263.9999345,1,101
64000,20734,64000.000020734,83,1352728576.0000656,1,101
64000,20736,64000.000020736,74,-851247103.9999344,1,109
64000,20736,64000.000020736,61,-343867391.9999345,1,23
64000,20739,64000.000020739,79,568262656.0000656,1,83
64000,20740,64000.00002074,125,1544224768.0000656,1,11
64000,20740,64000.00002074,91,-1949761535.9999344,1,109
64000,20741,64000.000020741,121,2050555904.0000656,1,115
64000,20746,64000.000020746,7,-518193151.9999345,1,123
64000,20747,64000.000020747,89,-746127359.9999344,1,19
64000,20748,64000.000020748,13,877854720.0000656,1,121
64000,20748,64000.000020748,112,-316342271.9999345,1,39
64000,20750,64000.00002075,82,-111476735.99993448,1,59
64000,20755,64000.000020755,41,-1051262975.9999344,1,69
64000,20755,64000.000020755,38,-492896255.9999345,1,57
64000,20759,64000.000020759,58,-934871039.9999344,1,25
64000,20763,64000.000020763,112,518717440.0000655,1,101
4294344032,3964567300,4294344035.964567,7,1255581394.0005898,1,5
64000,20766,64000.000020766,126,859766784.0000656,1,123
64000,20766,64000.000020766,9,1148780544.0000656,1,35
4294293783,3932767298,4294293786.9327674,7,1255515722.0005898,1,2
64000,20769,64000.000020769,10,900923392.0000656,1,113
64000,20770,64000.00002077,43,401932288.0000655,1,53
64000,20770,64000.00002077,23,1157300224.0000656,1,47
64000,20776,64000.000020776,18,678232064.0000656,1,125
64000,20780,64000.00002078,62,251592704.00006554,1,125
64000,20782,64000.000020782,71,776536064.0000656,1,23
4294773132,3553767299,4294773135.553767,7,1134601906.0005898,1,0
4294772454,4099867302,4294772458.0998673,7,1134601906.0005898,1,1
64000,20788,64000.000020788,70,-1129775103.9999344,1,49
64000,20790,64000.00002079,81,799080448.0000656,1,11
64000,20791,64000.000020791,103,370475008.0000655,1,5
64000,20793,64000.000020793,68,2035351552.0000656,1,77
64000,20793,64000.000020793,24,2068774912.0000656,1,3
64000,20795,64000.000020795,73,-86573055.99993446,1,53
64000,20799,64000.000020799,60,1790377984.0000656,1,83
