record_time_tag_int,items_2_3_packed,observable_int,observable_frac,items_6_14_packed,items_15_19_packed,items_20_22_packed
1812103215,b'',-382767,-192003249,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103225,b'',-382755,-632497786,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103235,b'',-382744,-255388259,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103245,b'',-382732,-916846274,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103255,b'',-382721,-600548743,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103265,b'',-382710,-385535239,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103275,b'',-382699,-167897223,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103285,b'',-382687,-990623473,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103295,b'',-382676,-922410010,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103305,b'',-382665,-921494483,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103315,b'',-382654,-900258063,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103325,b'',-382644,-69802283,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103335,b'',-382633,-143358230,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103345,b'',-382622,-266936301,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103355,b'',-382611,-428010940,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103365,b'',-382600,-675416945,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103375,b'',-382589,-982161521,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103385,b'',-382579,-280730246,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103395,b'',-382568,-713732718,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103405,b'',-382558,-121145247,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103415,b'',-382547,-604871749,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103425,b'',-382537,-48638343,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103435,b'',-382526,-649223327,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103445,b'',-382516,-181986808,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103455,b'',-382505,-685975074,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103465,b'',-382495,-332446097,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103475,b'',-382485,-26935576,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103485,b'',-382474,-688505172,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103495,b'',-382464,-383872985,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103505,b'',-382454,-101468085,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103515,b'',-382443,-905918120,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103525,b'',-382433,-673580169,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103535,b'',-382423,-556015967,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103545,b'',-382413,-361440658,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103555,b'',-382403,-225201606,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
